alpha	lambda	AUC
1	0.001	0.9011666666666667
1	0.01	0.9015
1	0.1	0.9076666666666666
1	1	0.5
1	1e-4	0.8881666666666667
1	0.001	0.8881666666666667
1	0.01	0.8843333333333333
1	0.1	0.9146666666666666
1	1	0.5
1	1e-4	0.9325
1	0.001	0.9325
1	0.01	0.9363333333333334
1	0.1	0.9295
1	1	0.5
1	1e-4	0.8516666666666667
1	0.001	0.8516666666666667
1	0.01	0.854
1	0.1	0.8361666666666666
1	1	0.5
1	1e-4	0.87025
1	0.001	0.87025
1	0.01	0.8665
1	0.1	0.8565833333333334
1	1	0.5
1	1e-4	0.8921666666666667
1	0.001	0.8921666666666667
1	0.01	0.8905
1	0.1	0.8855
1	1	0.5
1	1e-4	0.8495
1	0.001	0.8495
1	0.01	0.8475
1	0.1	0.8491666666666666
1	1	0.5
1	1e-4	0.8835
1	0.001	0.8835
1	0.01	0.8833333333333333
1	0.1	0.8854166666666666
1	1	0.5
1	1e-4	0.9168333333333333
1	0.001	0.9168333333333333
1	0.01	0.9155
1	0.1	0.9016666666666666
1	1	0.5
1	1e-4	0.9205
1	0.001	0.9205
1	0.01	0.9193333333333333
1	0.1	0.923
1	1	0.5
1	1e-4	0.8395833333333333
1	0.001	0.8395833333333333
1	0.01	0.84
1	0.1	0.8428333333333333
1	1	0.5
1	1e-4	0.8846666666666667
1	0.001	0.8846666666666667
1	0.01	0.8945
1	0.1	0.8859166666666667
1	1	0.5
1	1e-4	0.8893333333333333
1	0.001	0.8893333333333333
1	0.01	0.882
1	0.1	0.8100833333333334
1	1	0.5
1	1e-4	0.8856666666666667
1	0.001	0.8856666666666667
1	0.01	0.8795
1	0.1	0.8783333333333333
1	1	0.5
1	1e-4	0.8623333333333333
1	0.001	0.8623333333333333
1	0.01	0.8683333333333333
1	0.1	0.8738333333333334
1	1	0.5
1	1e-4	0.877
1	0.001	0.877
1	0.01	0.8815
1	0.1	0.8911666666666667
1	1	0.5
1	1e-4	0.9613333333333334
1	0.001	0.9613333333333334
1	0.01	0.9591666666666666
1	0.1	0.967
1	1	0.5
1	1e-4	0.8406666666666667
1	0.001	0.8406666666666667
1	0.01	0.8405
1	0.1	0.8583333333333333
1	1	0.5
1	1e-4	0.9568333333333333
1	0.001	0.9568333333333333
1	0.01	0.952
1	0.1	0.948
1	1	0.5
1	1e-4	0.912
1	0.001	0.912
1	0.01	0.9123333333333333
1	0.1	0.9105833333333333
1	1	0.5
1	1e-4	0.87325
1	0.001	0.87325
1	0.01	0.8759166666666667
1	0.1	0.8851666666666667
1	1	0.5
1	1e-4	0.85
1	0.001	0.85
1	0.01	0.8506666666666667
1	0.1	0.8676666666666667
1	1	0.5
1	1e-4	0.9591666666666666
1	0.001	0.9591666666666666
1	0.01	0.9571666666666666
1	0.1	0.9556666666666667
1	1	0.5
1	1e-4	0.9571666666666666
1	0.001	0.9571666666666666
1	0.01	0.9585
1	0.1	0.9681666666666666
1	1	0.5
1	1e-4	0.8803333333333333
1	0.001	0.8803333333333333
1	0.01	0.8779166666666667
1	0.1	0.8700833333333333
1	1	0.5
1	1e-4	0.8485833333333334
1	0.001	0.8485833333333334
1	0.01	0.8460833333333333
1	0.1	0.8405833333333333
1	1	0.5
1	1e-4	0.8905
1	0.001	0.8905
1	0.01	0.8909166666666667
1	0.1	0.8850833333333333
1	1	0.5
1	1e-4	0.9633333333333334
1	0.001	0.9633333333333334
1	0.01	0.9603333333333334
1	0.1	0.9713333333333334
1	1	0.5
1	1e-4	0.898
1	0.001	0.898
1	0.01	0.9005
1	0.1	0.9103333333333333
1	1	0.5
1	1e-4	0.8866666666666667
1	0.001	0.8866666666666667
1	0.01	0.8871666666666667
1	0.1	0.8726666666666667
1	1	0.5
1	1e-4	0.8724999999999999
1	0.001	0.8724999999999999
1	0.01	0.87283333333333335
1	0.1	0.87375
1	1	0.5
1	1e-4	0.8696666666666667
1	0.001	0.8696666666666667
1	0.01	0.8714999999999999
1	0.1	0.8665833333333334
1	1	0.5
1	1e-4	0.8711666666666666
1	0.001	0.8711666666666666
1	0.01	0.8714999999999999
1	0.1	0.8956666666666666
1	1	0.5
1	1e-4	0.9168333333333333
1	0.001	0.9168333333333333
1	0.01	0.9101666666666667
1	0.1	0.894
1	1	0.5
1	1e-4	0.8218333333333333
1	0.001	0.8218333333333333
1	0.01	0.8145
1	0.1	0.8284166666666667
1	1	0.5
1	1e-4	0.8740833333333333
1	0.001	0.8740833333333333
1	0.01	0.8764166666666666
1	0.1	0.8845
1	1	0.5
1	1e-4	0.8601666666666666
1	0.001	0.8601666666666666
1	0.01	0.861
1	0.1	0.8636666666666667
1	1	0.5
1	1e-4	0.8948333333333334
1	0.001	0.8948333333333334
1	0.01	0.8895
1	0.1	0.8156666666666667
1	1	0.5
1	1e-4	0.9035
1	0.001	0.9035
1	0.01	0.8973333333333333
1	0.1	0.8918333333333334
1	1	0.5
1	1e-4	0.8526666666666667
1	0.001	0.8526666666666667
1	0.01	0.8556666666666667
1	0.1	0.8765
1	1	0.5
1	1e-4	0.8551666666666666
1	0.001	0.8551666666666666
1	0.01	0.8566666666666667
1	0.1	0.8713333333333333
1	1	0.5
1	1e-4	0.8670833333333333
1	0.001	0.8670833333333333
1	0.01	0.8734999999999999
1	0.1	0.8586666666666667
1	1	0.5
1	1e-4	0.8741666666666666
1	0.001	0.8741666666666666
1	0.01	0.8686666666666667
1	0.1	0.8633333333333333
1	1	0.5
1	1e-4	0.8355
1	0.001	0.8355
1	0.01	0.8385
1	0.1	0.8326666666666667
1	1	0.5
1	1e-4	0.8275
1	0.001	0.8275
1	0.01	0.8184166666666667
1	0.1	0.81225
1	1	0.5
1	1e-4	0.8841666666666667
1	0.001	0.8841666666666667
1	0.01	0.8779166666666667
1	0.1	0.8701666666666666
1	1	0.5
1	1e-4	0.8906666666666667
1	0.001	0.8906666666666667
1	0.01	0.8953333333333333
1	0.1	0.912
1	1	0.5
1	1e-4	0.9348333333333333
1	0.001	0.9348333333333333
1	0.01	0.9325
1	0.1	0.9283333333333333
1	1	0.5
1	1e-4	0.8529166666666667
1	0.001	0.8529166666666667
1	0.01	0.8515833333333334
1	0.1	0.84275
1	1	0.5
1	1e-4	0.86525
1	0.001	0.86525
1	0.01	0.86025
1	0.1	0.8378333333333333
1	1	0.5
1	1e-4	0.8373333333333334
1	0.001	0.8373333333333334
1	0.01	0.8333333333333334
1	0.1	0.8271666666666666
1	1	0.5
1	1e-4	0.865
1	0.001	0.865
1	0.01	0.8625
1	0.1	0.87
1	1	0.5
1	1e-4	0.9002083333333333
1	0.001	0.9002083333333333
1	0.01	0.8945416666666667
1	0.1	0.8805
1	1	0.5
1	1e-4	0.8085
1	0.001	0.8085
1	0.01	0.8099999999999999
1	0.1	0.8175833333333333
1	1	0.5
1	1e-4	0.895
1	0.001	0.895
1	0.01	0.8938333333333334
1	0.1	0.8673333333333333
1	1	0.5
1	1e-4	0.852
1	0.001	0.852
1	0.01	0.8473333333333334
1	0.1	0.8424166666666667
1	1	0.5
1	1e-4	0.979
1	0.001	0.979
1	0.01	0.9791666666666666
1	0.1	0.9764166666666667
1	1	0.5
1	1e-4	0.8568333333333333
1	0.001	0.8568333333333333
1	0.01	0.8534166666666667
1	0.1	0.85
1	1	0.5
1	1e-4	0.9031666666666667
1	0.001	0.9031666666666667
1	0.01	0.8991666666666667
1	0.1	0.889
1	1	0.5
1	1e-4	0.817
1	0.001	0.817
1	0.01	0.8183333333333334
1	0.1	0.8300833333333333
1	1	0.5
1	1e-4	0.886
1	0.001	0.886
1	0.01	0.8838333333333334
1	0.1	0.882
1	1	0.5
1	1e-4	0.8396666666666667
1	0.001	0.8396666666666667
1	0.01	0.8438333333333333
1	0.1	0.8515833333333334
1	1	0.5
1	1e-4	0.9118333333333334
1	0.001	0.9118333333333334
1	0.01	0.9151666666666667
1	0.1	0.9170833333333334
1	1	0.5
1	1e-4	0.9331666666666667
1	0.001	0.9331666666666667
1	0.01	0.9356666666666666
1	0.1	0.9308333333333333
1	1	0.5
1	1e-4	0.7603333333333333
1	0.001	0.7603333333333333
1	0.01	0.7665
1	0.1	0.769
1	1	0.5
1	1e-4	0.8436666666666667
1	0.001	0.8436666666666667
1	0.01	0.8425
1	0.1	0.7860833333333334
1	1	0.5
1	1e-4	0.9006666666666666
1	0.001	0.9006666666666666
1	0.01	0.8958333333333334
1	0.1	0.9065
1	1	0.5
