alpha	lambda	AUC
1	1e-4	0.8486666666666667
1	0.001	0.8486666666666667
1	0.01	0.85
1	0.1	0.8663333333333333
1	1	0.5
1	1e-4	0.9166666666666666
1	0.001	0.9166666666666666
1	0.01	0.9193333333333333
1	0.1	0.8943333333333333
1	1	0.5
1	1e-4	0.8381666666666666
1	0.001	0.8381666666666666
1	0.01	0.8356666666666667
1	0.1	0.841
1	1	0.5
1	1e-4	0.9401666666666667
1	0.001	0.9401666666666667
1	0.01	0.946
1	0.1	0.9461666666666667
1	1	0.5
1	1e-4	0.8608333333333333
1	0.001	0.8608333333333333
1	0.01	0.8575
1	0.1	0.7825
1	1	0.5
1	1e-4	0.8571666666666666
1	0.001	0.8571666666666666
1	0.01	0.8498333333333333
1	0.1	0.782
1	1	0.5
1	1e-4	0.8998333333333334
1	0.001	0.8998333333333334
1	0.01	0.8995
1	0.1	0.83825
1	1	0.5
1	1e-4	0.8996666666666666
1	0.001	0.8996666666666666
1	0.01	0.9013333333333333
1	0.1	0.8163333333333334
1	1	0.5
1	1e-4	0.88
1	0.001	0.88
1	0.01	0.8798333333333334
1	0.1	0.8935
1	1	0.5
1	1e-4	0.917
1	0.001	0.917
1	0.01	0.9176666666666666
1	0.1	0.9243333333333333
1	1	0.5
1	1e-4	0.9376666666666666
1	0.001	0.9376666666666666
1	0.01	0.943
1	0.1	0.944
1	1	0.5
1	1e-4	0.7616666666666667
1	0.001	0.7616666666666667
1	0.01	0.7601666666666667
1	0.1	0.781
1	1	0.5
1	1e-4	0.81175
1	0.001	0.81175
1	0.01	0.81225
1	0.1	0.82175
1	1	0.5
1	1e-4	0.879
1	0.001	0.879
1	0.01	0.8841666666666667
1	0.1	0.8968333333333334
1	1	0.5
1	1e-4	0.8608333333333333
1	0.001	0.8608333333333333
1	0.01	0.8625833333333334
1	0.1	0.8520833333333333
1	1	0.5
1	1e-4	0.8590833333333333
1	0.001	0.8590833333333333
1	0.01	0.86325
1	0.1	0.8740833333333333
1	1	0.5
1	1e-4	0.898
1	0.001	0.898
1	0.01	0.9003333333333333
1	0.1	0.9075833333333333
1	1	0.5
1	1e-4	0.8778333333333334
1	0.001	0.8778333333333334
1	0.01	0.875
1	0.1	0.877
1	1	0.5
1	1e-4	0.8774166666666666
1	0.001	0.8774166666666666
1	0.01	0.8765833333333334
1	0.1	0.8646666666666667
1	1	0.5
1	1e-4	0.9095
1	0.001	0.9095
1	0.01	0.9085
1	0.1	0.9081666666666667
1	1	0.5
1	1e-4	0.818
1	0.001	0.818
1	0.01	0.825
1	0.1	0.8413333333333334
1	1	0.5
1	1e-4	0.87275
1	0.001	0.87275
1	0.01	0.8734166666666666
1	0.1	0.8738333333333334
1	1	0.5
1	1e-4	0.9481666666666667
1	0.001	0.9481666666666667
1	0.01	0.9473333333333334
1	0.1	0.9493333333333334
1	1	0.5
1	1e-4	0.9023333333333333
1	0.001	0.9023333333333333
1	0.01	0.8976666666666666
1	0.1	0.8921666666666667
1	1	0.5
1	1e-4	0.8266666666666667
1	0.001	0.8266666666666667
1	0.01	0.8195
1	0.1	0.7450833333333333
1	1	0.5
1	1e-4	0.9378333333333333
1	0.001	0.9378333333333333
1	0.01	0.9376666666666666
1	0.1	0.9548333333333333
1	1	0.5
1	1e-4	0.8339166666666666
1	0.001	0.8339166666666666
1	0.01	0.8250833333333333
1	0.1	0.8185833333333333
1	1	0.5
1	1e-4	0.8943333333333333
1	0.001	0.8943333333333333
1	0.01	0.8905
1	0.1	0.88025
1	1	0.5
1	1e-4	0.9385
1	0.001	0.9385
1	0.01	0.9366666666666666
1	0.1	0.9305833333333333
1	1	0.5
1	1e-4	0.8125
1	0.001	0.8125
1	0.01	0.8106666666666666
1	0.1	0.8153333333333334
1	1	0.5
1	1e-4	0.8391666666666666
1	0.001	0.8391666666666666
1	0.01	0.8375
1	0.1	0.84925
1	1	0.5
1	1e-4	0.8491666666666666
1	0.001	0.8491666666666666
1	0.01	0.84925
1	0.1	0.8709166666666667
1	1	0.5
1	1e-4	0.8724999999999999
1	0.001	0.8724999999999999
1	0.01	0.8614166666666666
1	0.1	0.7855
1	1	0.5
1	1e-4	0.9011666666666667
