alpha	lambda	AUC
1	1e-4	0.8851666666666667
1	0.001	0.8851666666666667
1	0.01	0.8808333333333334
1	0.1	0.9133333333333333
1	1	0.5
1	1e-4	0.9348333333333333
1	0.001	0.9348333333333333
1	0.01	0.9375
1	0.1	0.9295
1	1	0.5
1	1e-4	0.852
1	0.001	0.852
1	0.01	0.853
1	0.1	0.8361666666666666
1	1	0.5
1	1e-4	0.87325
1	0.001	0.87325
1	0.01	0.8671666666666666
1	0.1	0.8565833333333334
1	1	0.5
1	1e-4	0.8878333333333334
1	0.001	0.8878333333333334
1	0.01	0.8903333333333333
1	0.1	0.8853333333333333
1	1	0.5
1	1e-4	0.8498333333333333
1	0.001	0.8498333333333333
1	0.01	0.8483333333333334
1	0.1	0.8491666666666666
1	1	0.5
1	1e-4	0.883
1	0.001	0.883
1	0.01	0.8861666666666667
1	0.1	0.8860833333333333
1	1	0.5
1	1e-4	0.8244166666666667
1	0.001	0.8244166666666667
1	0.01	0.8150833333333333
1	0.1	0.80225
1	1	0.5
1	1e-4	0.92
1	0.001	0.92
1	0.01	0.918
1	0.1	0.9226666666666666
1	1	0.5
1	1e-4	0.8384166666666667
1	0.001	0.8384166666666667
1	0.01	0.839
1	0.1	0.8421666666666666
1	1	0.5
1	1e-4	0.891
1	0.001	0.891
1	0.01	0.8946666666666666
1	0.1	0.8815833333333333
1	1	0.5
1	1e-4	0.8848333333333334
1	0.001	0.8848333333333334
1	0.01	0.883
1	0.1	0.81175
1	1	0.5
1	1e-4	0.8823333333333333
1	0.001	0.8823333333333333
1	0.01	0.8768333333333334
1	0.1	0.879
1	1	0.5
1	1e-4	0.8608333333333333
1	0.001	0.8608333333333333
1	0.01	0.8675
1	0.1	0.8734999999999999
1	1	0.5
1	1e-4	0.8806666666666667
1	0.001	0.8806666666666667
1	0.01	0.8813333333333333
1	0.1	0.8916666666666667
1	1	0.5
1	1e-4	0.9586666666666667
1	0.001	0.9586666666666667
1	0.01	0.957
1	0.1	0.966
1	1	0.5
1	1e-4	0.8446666666666667
1	0.001	0.8446666666666667
1	0.01	0.8408333333333333
1	0.1	0.8583333333333333
1	1	0.5
1	1e-4	0.9535
1	0.001	0.9535
1	0.01	0.9513333333333334
1	0.1	0.948
1	1	0.5
1	1e-4	0.9121666666666667
1	0.001	0.9121666666666667
1	0.01	0.9131666666666667
1	0.1	0.91025
1	1	0.5
1	1e-4	0.8760833333333333
1	0.001	0.8760833333333333
1	0.01	0.87325
1	0.1	0.8851666666666667
1	1	0.5
1	1e-4	0.8433333333333334
1	0.001	0.8433333333333334
1	0.01	0.8443333333333334
1	0.1	0.8661666666666666
1	1	0.5
1	1e-4	0.956
1	0.001	0.956
1	0.01	0.9561666666666666
1	0.1	0.9556666666666667
1	1	0.5
1	1e-4	0.9618333333333333
1	0.001	0.9618333333333333
1	0.01	0.9601666666666666
1	0.1	0.9688333333333333
1	1	0.5
1	1e-4	0.8795
1	0.001	0.8795
1	0.01	0.87875
1	0.1	0.86925
1	1	0.5
1	1e-4	0.8464166666666667
1	0.001	0.8464166666666667
1	0.01	0.84675
1	0.1	0.8420833333333333
1	1	0.5
1	1e-4	0.8925
1	0.001	0.8925
1	0.01	0.89175
1	0.1	0.8850833333333333
1	1	0.5
1	1e-4	0.9645
1	0.001	0.9645
1	0.01	0.9633333333333334
1	0.1	0.9728333333333333
1	1	0.5
1	1e-4	0.8986666666666666
1	0.001	0.8986666666666666
1	0.01	0.9001666666666667
1	0.1	0.9103333333333333
1	1	0.5
1	1e-4	0.8861666666666667
1	0.001	0.8861666666666667
1	0.01	0.8875
1	0.1	0.8734999999999999
1	1	0.5
1	1e-4	0.872
1	0.001	0.872
1	0.01	0.8705
1	0.1	0.8744166666666666
1	1	0.5
1	1e-4	0.869
1	0.001	0.869
1	0.01	0.87125
1	0.1	0.8665833333333334
1	1	0.5
1	1e-4	0.8701666666666666
1	0.001	0.8701666666666666
1	0.01	0.8716666666666667
1	0.1	0.8953333333333333
1	1	0.5
1	1e-4	0.92
1	0.001	0.92
1	0.01	0.918
1	0.1	0.896
1	1	0.5
1	1e-4	0.8203333333333334
1	0.001	0.8203333333333334
1	0.01	0.8138333333333333
1	0.1	0.8244166666666667
1	1	0.5
1	1e-4	0.8476666666666667
