cv_metric_AUC	AUC
0.865666666666667	1
0.919833333333333	0.5
0.824	1
0.946166666666667	1
0.860666666666667	1
0.972	1
0.899666666666667	1
0.901333333333333	1
0.892	1
0.923333333333333	1
0.944	1
0.781333333333333	1
0.8125	1
0.896333333333333	1
0.865416666666667	1
0.87475	1
0.907583333333333	1
0.876833333333333	1
0.886	1
0.915166666666667	1
0.8425	1
0.8745	0.5
0.949333333333333	1
0.902	1
0.825333333333333	1
0.8995	1
0.87575	1
0.895	1
0.818	1
0.816	1
0.848916666666667	1
0.872916666666667	1
0.870666666666667	1
0.907	1
0.913333333333333	1
0.9375	1
0.853	1
0.87325	1
0.890333333333333	1
0.849833333333333	1
0.886166666666667	1
0.824416666666667	1
0.922666666666667	1
0.842166666666667	0.5
0.894666666666667	1
0.884833333333333	1
0.882333333333333	1
0.8735	1
0.891666666666667	1
0.966	1
0.858333333333333	1
0.9535	1
0.913166666666667	1
0.885166666666667	1
0.866166666666667	0
0.956166666666667	1
0.968833333333333	1
0.8795	1
0.84675	1
0.8925	1
0.972833333333333	1
0.910333333333333	1
0.8875	1
0.874416666666667	1
0.87125	1
0.895333333333333	1
0.92	0.5
0.824416666666667	1
0.85175	1
0.862083333333333	1
0.895333333333333	1
0.901666666666667	1
0.88175	1
0.871	1
0.8735	1
0.780666666666667	1
0.842666666666667	1
0.826333333333333	1
0.8845	1
0.910166666666667	1
0.934333333333333	1
0.852916666666667	1
0.864916666666667	1
0.836666666666667	1
0.869666666666667	1
0.901041666666667	0.5
0.913833333333333	0.5
0.896166666666667	1
0.852833333333333	1
0.9785	0.5
0.860666666666667	1
0.903166666666667	1
0.831083333333333	1
0.885166666666667	1
0.849583333333333	1
0.916416666666667	1
0.9355	1
0.769	1
0.847	1
0.885666666666667	1
