alpha	lambda	AUC
0	0.1	0.9815
0	1	0.9815
0	1e-4	0.9218333333333333
0	0.001	0.9218333333333333
0	0.01	0.9218333333333333
0	0.1	0.9218333333333333
0	1	0.9218333333333333
0	1e-4	0.9115
0	0.001	0.9115
0	0.01	0.9115
0	0.1	0.9115
0	1	0.9115
0	1e-4	0.9391666666666667
0	0.001	0.9391666666666667
0	0.01	0.9391666666666667
0	0.1	0.9391666666666667
0	1	0.9391666666666667
0	1e-4	0.9543333333333334
0	0.001	0.9543333333333334
0	0.01	0.9543333333333334
0	0.1	0.9543333333333334
0	1	0.9543333333333334
0	1e-4	0.927
0	0.001	0.927
0	0.01	0.927
0	0.1	0.927
0	1	0.927
0	1e-4	0.9078333333333334
0	0.001	0.9078333333333334
0	0.01	0.9078333333333334
0	0.1	0.9078333333333334
0	1	0.9078333333333334
0	1e-4	0.9451666666666667
0	0.001	0.9451666666666667
0	0.01	0.9451666666666667
0	0.1	0.9451666666666667
0	1	0.9451666666666667
0	1e-4	0.9183333333333333
0	0.001	0.9183333333333333
0	0.01	0.9183333333333333
0	0.1	0.9183333333333333
0	1	0.9183333333333333
0	1e-4	0.9158333333333333
0	0.001	0.9158333333333333
0	0.01	0.9158333333333333
0	0.1	0.9158333333333333
0	1	0.9158333333333333
0	1e-4	0.9506666666666667
0	0.001	0.9506666666666667
0	0.01	0.9506666666666667
0	0.1	0.9506666666666667
0	1	0.9506666666666667
0	1e-4	0.9401666666666667
0	0.001	0.9401666666666667
0	0.01	0.9401666666666667
0	0.1	0.9401666666666667
0	1	0.9401666666666667
0	1e-4	0.889
0	0.001	0.889
0	0.01	0.889
0	0.1	0.889
0	1	0.889
0	1e-4	0.9166666666666666
0	0.001	0.9166666666666666
0	0.01	0.9166666666666666
0	0.1	0.9166666666666666
0	1	0.9166666666666666
0	1e-4	0.9246666666666666
0	0.001	0.9246666666666666
0	0.01	0.9246666666666666
0	0.1	0.9246666666666666
0	1	0.9246666666666666
0	1e-4	0.9331666666666667
0	0.001	0.9331666666666667
0	0.01	0.9331666666666667
0	0.1	0.9331666666666667
0	1	0.9331666666666667
0	1e-4	0.9425
0	0.001	0.9425
0	0.01	0.9425
0	0.1	0.9425
0	1	0.9425
0	1e-4	0.9123333333333333
0	0.001	0.9123333333333333
0	0.01	0.9123333333333333
0	0.1	0.9123333333333333
0	1	0.9123333333333333
0	1e-4	0.9166666666666666
0	0.001	0.9166666666666666
0	0.01	0.9166666666666666
0	0.1	0.9166666666666666
0	1	0.9166666666666666
0	1e-4	0.9525
0	0.001	0.9525
0	0.01	0.9525
0	0.1	0.9525
0	1	0.9525
0	1e-4	0.9376666666666666
0	0.001	0.9376666666666666
0	0.01	0.9376666666666666
0	0.1	0.9376666666666666
0	1	0.9376666666666666
0	1e-4	0.9238333333333333
0	0.001	0.9238333333333333
0	0.01	0.9238333333333333
0	0.1	0.9238333333333333
0	1	0.9238333333333333
0	1e-4	0.9508333333333333
0	0.001	0.9508333333333333
0	0.01	0.9508333333333333
0	0.1	0.9508333333333333
0	1	0.9508333333333333
0	1e-4	0.9465
0	0.001	0.9465
0	0.01	0.9465
0	0.1	0.9465
0	1	0.9465
0	1e-4	0.933
0	0.001	0.933
0	0.01	0.933
0	0.1	0.933
0	1	0.933
0	1e-4	0.9415
0	0.001	0.9415
0	0.01	0.9415
0	0.1	0.9415
0	1	0.9415
0	1e-4	0.9385
0	0.001	0.9385
0	0.01	0.9385
0	0.1	0.9385
0	1	0.9385
0	1e-4	0.9136666666666666
0	0.001	0.9136666666666666
0	0.01	0.9136666666666666
0	0.1	0.9136666666666666
0	1	0.9136666666666666
0	1e-4	0.9421666666666667
0	0.001	0.9421666666666667
0	0.01	0.9421666666666667
0	0.1	0.9421666666666667
0	1	0.9421666666666667
0	1e-4	0.9513333333333334
0	0.001	0.9513333333333334
0	0.01	0.9513333333333334
0	0.1	0.9513333333333334
0	1	0.9513333333333334
0	1e-4	0.9343333333333333
0	0.001	0.9343333333333333
0	0.01	0.9343333333333333
0	0.1	0.9343333333333333
0	1	0.9343333333333333
0	1e-4	0.931
0	0.001	0.931
0	0.01	0.931
0	0.1	0.931
0	1	0.931
0	1e-4	0.9373333333333334
0	0.001	0.9373333333333334
0	0.01	0.9373333333333334
0	0.1	0.9373333333333334
0	1	0.9373333333333334
0	1e-4	0.9475
0	0.001	0.9475
0	0.01	0.9475
0	0.1	0.9475
0	1	0.9475
0	1e-4	0.9255
0	0.001	0.9255
0	0.01	0.9255
0	0.1	0.9255
0	1	0.9255
0	1e-4	0.9473333333333334
0	0.001	0.9473333333333334
0	0.01	0.9473333333333334
0	0.1	0.9473333333333334
0	1	0.9473333333333334
0	1e-4	0.9423333333333334
0	0.001	0.9423333333333334
0	0.01	0.9423333333333334
0	0.1	0.9423333333333334
0	1	0.9423333333333334
0	1e-4	0.9853333333333333
0	0.001	0.9853333333333333
0	0.01	0.9853333333333333
0	0.1	0.9853333333333333
0	1	0.9853333333333333
0	1e-4	0.93966666666666665
0	0.001	0.93966666666666665
0	0.01	0.93966666666666665
0	0.1	0.93966666666666665
0	1	0.93966666666666665
0	1e-4	0.948
0	0.001	0.948
0	0.01	0.948
0	0.1	0.948
0	1	0.948
0	1e-4	0.9366666666666666
0	0.001	0.9366666666666666
0	0.01	0.9366666666666666
0	0.1	0.9366666666666666
0	1	0.9366666666666666
0	1e-4	0.8965
0	0.001	0.8965
0	0.01	0.8965
0	0.1	0.8965
0	1	0.8965
0	1e-4	0.9146666666666666
0	0.001	0.9146666666666666
0	0.01	0.9146666666666666
0	0.1	0.9146666666666666
0	1	0.9146666666666666
0	1e-4	0.9768333333333333
0	0.001	0.9768333333333333
0	0.01	0.9768333333333333
0	0.1	0.9768333333333333
0	1	0.9768333333333333
0	1e-4	0.9325
0	0.001	0.9325
0	0.01	0.9325
0	0.1	0.9325
0	1	0.9325
0	1e-4	0.9505
0	0.001	0.9505
0	0.01	0.9505
0	0.1	0.9505
0	1	0.9505
0	1e-4	0.941
0	0.001	0.941
0	0.01	0.941
0	0.1	0.941
0	1	0.941
0	1e-4	0.979
0	0.001	0.979
0	0.01	0.979
0	0.1	0.979
0	1	0.979
0	1e-4	0.9828333333333333
0	0.001	0.9828333333333333
0	0.01	0.9828333333333333
0	0.1	0.9828333333333333
0	1	0.9828333333333333
0	1e-4	0.9341666666666667
0	0.001	0.9341666666666667
0	0.01	0.9341666666666667
0	0.1	0.9341666666666667
0	1	0.9341666666666667
0	1e-4	0.9161666666666667
0	0.001	0.9161666666666667
0	0.01	0.9161666666666667
0	0.1	0.9161666666666667
0	1	0.9161666666666667
0	1e-4	0.9255
0	0.001	0.9255
0	0.01	0.9255
0	0.1	0.9255
0	1	0.9255
0	1e-4	0.9235
0	0.001	0.9235
0	0.01	0.9235
0	0.1	0.9235
0	1	0.9235
0	1e-4	0.9143333333333333
0	0.001	0.9143333333333333
0	0.01	0.9143333333333333
0	0.1	0.9143333333333333
0	1	0.9143333333333333
0	1e-4	0.9273333333333333
0	0.001	0.9273333333333333
0	0.01	0.9273333333333333
0	0.1	0.9273333333333333
0	1	0.9273333333333333
0	1e-4	0.9375
0	0.001	0.9375
0	0.01	0.9375
0	0.1	0.9375
0	1	0.9375
0	1e-4	0.9341666666666667
0	0.001	0.9341666666666667
0	0.01	0.9341666666666667
0	0.1	0.9341666666666667
0	1	0.9341666666666667
0	1e-4	0.9238333333333333
0	0.001	0.9238333333333333
0	0.01	0.9238333333333333
0	0.1	0.9238333333333333
0	1	0.9238333333333333
0	1e-4	0.9135
0	0.001	0.9135
0	0.01	0.9135
0	0.1	0.9135
0	1	0.9135
0	1e-4	0.9268333333333333
0	0.001	0.9268333333333333
0	0.01	0.9268333333333333
0	0.1	0.9268333333333333
0	1	0.9268333333333333
0	1e-4	0.9803333333333333
0	0.001	0.9803333333333333
0	0.01	0.9803333333333333
0	0.1	0.9803333333333333
0	1	0.9803333333333333
0	1e-4	0.9346666666666666
0	0.001	0.9346666666666666
0	0.01	0.9346666666666666
0	0.1	0.9346666666666666
0	1	0.9346666666666666
0	1e-4	0.928
0	0.001	0.928
0	0.01	0.928
0	0.1	0.928
0	1	0.928
0	1e-4	0.9406666666666667
0	0.001	0.9406666666666667
0	0.01	0.9406666666666667
0	0.1	0.9406666666666667
0	1	0.9406666666666667
0	1e-4	0.944
0	0.001	0.944
0	0.01	0.944
0	0.1	0.944
0	1	0.944
0	1e-4	0.9193333333333333
0	0.001	0.9193333333333333
0	0.01	0.9193333333333333
0	0.1	0.9193333333333333
0	1	0.9193333333333333
0	1e-4	0.9698333333333333
0	0.001	0.9698333333333333
0	0.01	0.9698333333333333
0	0.1	0.9698333333333333
0	1	0.9698333333333333
0	1e-4	0.9213333333333333
0	0.001	0.9213333333333333
0	0.01	0.9213333333333333
0	0.1	0.9213333333333333
0	1	0.9213333333333333
0	1e-4	0.9813333333333333
0	0.001	0.9813333333333333
0	0.01	0.9813333333333333
0	0.1	0.9813333333333333
0	1	0.9813333333333333
0	1e-4	0.9426666666666667
0	0.001	0.9426666666666667
0	0.01	0.9426666666666667
0	0.1	0.9426666666666667
0	1	0.9426666666666667
0	1e-4	0.9206666666666666
0	0.001	0.9206666666666666
0	0.01	0.9206666666666666
0	0.1	0.9206666666666666
0	1	0.9206666666666666
0	1e-4	0.9175
0	0.001	0.9175
0	0.01	0.9175
0	0.1	0.9175
0	1	0.9175
0	1e-4	0.9108333333333334
0	0.001	0.9108333333333334
0	0.01	0.9108333333333334
0	0.1	0.9108333333333334
0	1	0.9108333333333334
0	1e-4	0.9183333333333333
0	0.001	0.9183333333333333
0	0.01	0.9183333333333333
0	0.1	0.9183333333333333
0	1	0.9183333333333333
0	1e-4	0.918
0	0.001	0.918
0	0.01	0.918
0	0.1	0.918
0	1	0.918
0	1e-4	0.9246666666666666
0	0.001	0.9246666666666666
0	0.01	0.9246666666666666
0	0.1	0.9246666666666666
0	1	0.9246666666666666
0	1e-4	0.9278333333333333
0	0.001	0.9278333333333333
0	0.01	0.9278333333333333
0	0.1	0.9278333333333333
0	1	0.9278333333333333
0	1e-4	0.945
0	0.001	0.945
0	0.01	0.945
0	0.1	0.945
0	1	0.945
0	1e-4	0.9181666666666667
0	0.001	0.9181666666666667
0	0.01	0.9181666666666667
0	0.1	0.9181666666666667
0	1	0.9181666666666667
