alpha	lambda	AUC
0	1e-4	0.9363333333333334
0	0.001	0.9363333333333334
0	0.01	0.9363333333333334
0	0.1	0.9363333333333334
0	1	0.9363333333333334
0	1e-4	0.9606666666666667
0	0.001	0.9606666666666667
0	0.01	0.9606666666666667
0	0.1	0.9606666666666667
0	1	0.9606666666666667
0	1e-4	0.9776666666666667
0	0.001	0.9776666666666667
0	0.01	0.9776666666666667
0	0.1	0.9776666666666667
0	1	0.9776666666666667
0	1e-4	0.9173333333333333
0	0.001	0.9173333333333333
0	0.01	0.9173333333333333
0	0.1	0.9173333333333333
0	1	0.9173333333333333
0	1e-4	0.9215
0	0.001	0.9215
0	0.01	0.9215
0	0.1	0.9215
0	1	0.9215
0	1e-4	0.9368333333333333
0	0.001	0.9368333333333333
0	0.01	0.9368333333333333
0	0.1	0.9368333333333333
0	1	0.9368333333333333
0	1e-4	0.9375
0	0.001	0.9375
0	0.01	0.9375
0	0.1	0.9375
0	1	0.9375
0	1e-4	0.9558333333333333
0	0.001	0.9558333333333333
0	0.01	0.9558333333333333
0	0.1	0.9558333333333333
0	1	0.9558333333333333
0	1e-4	0.9403333333333334
0	0.001	0.9403333333333334
0	0.01	0.9403333333333334
0	0.1	0.9403333333333334
0	1	0.9403333333333334
0	1e-4	0.9368333333333333
0	0.001	0.9368333333333333
0	0.01	0.9368333333333333
0	0.1	0.9368333333333333
0	1	0.9368333333333333
0	1e-4	0.9315
0	0.001	0.9315
0	0.01	0.9315
0	0.1	0.9315
0	1	0.9315
0	1e-4	0.9375
0	0.001	0.9375
0	0.01	0.9375
0	0.1	0.9375
0	1	0.9375
0	1e-4	0.973
0	0.001	0.973
0	0.01	0.973
0	0.1	0.973
0	1	0.973
0	1e-4	0.934
0	0.001	0.934
0	0.01	0.934
0	0.1	0.934
0	1	0.934
0	1e-4	0.9746666666666667
0	0.001	0.9746666666666667
0	0.01	0.9746666666666667
0	0.1	0.9746666666666667
0	1	0.9746666666666667
0	1e-4	0.9441666666666667
0	0.001	0.9441666666666667
0	0.01	0.9441666666666667
0	0.1	0.9441666666666667
0	1	0.9441666666666667
0	1e-4	0.9115
0	0.001	0.9115
0	0.01	0.9115
0	0.1	0.9115
0	1	0.9115
0	1e-4	0.9268333333333333
0	0.001	0.9268333333333333
0	0.01	0.9268333333333333
0	0.1	0.9268333333333333
0	1	0.9268333333333333
0	1e-4	0.9076666666666666
0	0.001	0.9076666666666666
0	0.01	0.9076666666666666
0	0.1	0.9076666666666666
0	1	0.9076666666666666
0	1e-4	0.93533333333333335
0	0.001	0.93533333333333335
0	0.01	0.93533333333333335
0	0.1	0.93533333333333335
0	1	0.93533333333333335
0	1e-4	0.9065
0	0.001	0.9065
0	0.01	0.9065
0	0.1	0.9065
0	1	0.9065
0	1e-4	0.9815
0	0.001	0.9815
0	0.01	0.9815
