cv_metric_AUC	AUC
0.936333333333333	1
0.960666666666667	1
0.977666666666667	1
0.917333333333333	1
0.9215	1
0.936833333333333	1
0.9375	1
0.955833333333333	1
0.940333333333333	1
0.936833333333333	1
0.9315	1
0.9375	1
0.973	0.5
0.934	1
0.974666666666667	1
0.944166666666667	1
0.9115	1
0.926833333333333	1
0.907666666666667	1
0.935333333333333	1
0.9065	1
0.9815	0.5
0.921833333333333	1
0.9115	1
0.939166666666667	1
0.954333333333333	1
0.927	1
0.907833333333333	1
0.945166666666667	1
0.918333333333333	1
0.915833333333333	1
0.950666666666667	0.5
0.940166666666667	1
0.889	1
0.916666666666667	1
0.924666666666667	1
0.933166666666667	1
0.9425	1
0.912333333333333	1
0.916666666666667	1
0.9525	1
0.937666666666667	1
0.923833333333333	1
0.950833333333333	1
0.9465	1
0.933	1
0.9415	1
0.9385	1
0.913666666666667	1
0.942166666666667	1
0.951333333333333	1
0.934333333333333	1
0.931	1
0.937333333333333	1
0.9475	0
0.9255	1
0.947333333333333	1
0.942333333333333	1
0.985333333333333	1
0.939666666666667	1
0.948	1
0.936666666666667	1
0.8965	1
0.914666666666667	1
0.976833333333333	1
0.9325	1
0.9505	1
0.941	1
0.979	0.5
0.982833333333333	1
0.934166666666667	1
0.916166666666667	1
0.9255	1
0.9235	1
0.914333333333333	1
0.927333333333333	1
0.9375	1
0.934166666666667	1
0.923833333333333	1
0.9135	1
0.926833333333333	1
0.980333333333333	1
0.934666666666667	1
0.928	1
0.940666666666667	1
0.944	1
0.919333333333333	1
0.969833333333333	1
0.921333333333333	1
0.981333333333333	1
0.942666666666667	1
0.920666666666667	1
0.9175	1
0.910833333333333	1
0.918333333333333	1
0.918	1
0.924666666666667	1
0.927833333333333	1
0.945	1
0.918166666666667	1
