mtry	AUC
2	0.9203333333333333
4	0.9271666666666667
8	0.9273333333333333
17	0.9278333333333333
34	0.9298333333333333
2	0.9526666666666667
4	0.9561666666666666
8	0.949
17	0.9506666666666667
34	0.9526666666666667
2	0.9035
4	0.9006666666666666
8	0.9027499999999999
17	0.9029166666666667
34	0.9014166666666666
2	0.8991666666666667
4	0.8895
8	0.8889166666666667
17	0.8911666666666667
34	0.8846666666666667
2	0.9355
4	0.94175
8	0.9376666666666666
17	0.9375
34	0.9358333333333333
2	0.9041666666666667
4	0.905
8	0.9105
17	0.9085
34	0.9175
2	0.9521666666666667
4	0.9478333333333333
8	0.9495
17	0.9503333333333334
34	0.9488333333333333
2	0.95175
4	0.9495
8	0.9525
17	0.9491666666666667
34	0.9475
2	0.9131666666666667
4	0.9198333333333333
8	0.9155
17	0.9136666666666666
34	0.9131666666666667
2	0.8966666666666666
4	0.8979166666666667
8	0.9023333333333333
17	0.8983333333333333
34	0.9057499999999999
2	0.9043333333333333
4	0.9031666666666667
8	0.8921666666666667
17	0.893
34	0.8984166666666666
2	0.941
4	0.9358333333333333
8	0.9323333333333333
17	0.9331666666666667
34	0.93533333333333335
2	0.92175
4	0.9209166666666667
8	0.9213333333333333
17	0.9189166666666667
34	0.9203333333333333
2	0.9063333333333333
4	0.9148333333333333
8	0.9146666666666666
17	0.9184166666666667
34	0.9238333333333333
2	0.9525
4	0.9575833333333333
8	0.9519166666666666
17	0.9541666666666667
34	0.956
2	0.917
4	0.9136666666666666
8	0.9113333333333333
17	0.9175
34	0.9085833333333333
2	0.9359166666666666
4	0.9308333333333333
8	0.9416666666666667
17	0.9356666666666666
34	0.93325
2	0.89475
4	0.9020833333333333
8	0.9045
17	0.909
34	0.9078333333333334
2	0.9035
4	0.9049166666666667
8	0.8988333333333334
17	0.9019166666666667
34	0.8988333333333334
2	0.9011666666666667
4	0.901
8	0.9093333333333333
17	0.9061666666666667
34	0.909
2	0.91575
4	0.9091666666666667
8	0.9118333333333334
17	0.9099166666666667
34	0.9066666666666666
2	0.9621666666666666
4	0.9610833333333333
8	0.9625833333333333
17	0.962
34	0.9656666666666667
2	0.9066666666666666
4	0.8976666666666666
8	0.8954166666666666
17	0.8949166666666667
34	0.8949166666666667
2	0.9229166666666667
4	0.925
8	0.9294166666666667
17	0.9276666666666666
34	0.93533333333333335
2	0.9366666666666666
4	0.9293333333333333
8	0.9293333333333333
17	0.9275833333333333
34	0.9255
2	0.92825
4	0.9259166666666666
8	0.9286666666666666
17	0.9338333333333333
34	0.9363333333333334
2	0.95
4	0.9485
8	0.9418333333333333
17	0.943
34	0.9441666666666667
2	0.9265
4	0.92
8	0.9153333333333333
17	0.9185
34	0.9165833333333333
2	0.915
4	0.9068333333333334
8	0.9098333333333334
17	0.9116666666666666
34	0.9130833333333334
2	0.9255833333333333
4	0.9279166666666666
8	0.9191666666666667
17	0.9195833333333333
34	0.921
2	0.9016666666666666
4	0.91025
