cv_metric_AUC	AUC
0.917833333333333	1
0.9155	1
0.929666666666667	1
0.854	1
0.926666666666667	1
0.888666666666667	1
0.902	1
0.913666666666667	1
0.8865	1
0.872	1
0.858666666666667	1
0.943	0.5
0.938666666666667	0.5
0.886166666666667	1
0.939	1
0.889666666666667	1
0.921833333333333	1
0.878833333333333	1
0.826166666666667	1
0.876833333333333	1
0.821	1
0.954	0.5
0.858833333333333	1
0.8965	1
0.915166666666667	1
0.910833333333333	1
0.909166666666667	1
0.852833333333333	1
0.870166666666667	1
0.906833333333333	1
0.835333333333333	1
0.929833333333333	0.5
0.917666666666667	1
0.873833333333333	1
0.897333333333333	1
0.874833333333333	1
0.893166666666667	1
0.907	1
0.822	1
0.835166666666667	1
0.906333333333333	0.5
0.9195	1
0.9135	1
0.9025	1
0.916333333333333	0.5
0.909833333333333	1
0.899	1
0.865333333333333	1
0.9085	1
0.9015	1
0.893	1
0.853833333333333	1
0.902333333333333	1
0.884833333333333	1
0.952166666666667	0
0.850666666666667	1
0.904333333333333	1
0.8855	1
0.950666666666667	1
0.902666666666667	1
0.8745	1
0.885166666666667	1
0.829	1
0.8505	0.5
0.934666666666667	1
0.905333333333333	0.5
0.916166666666667	1
0.8835	1
0.963166666666667	0.5
0.938666666666667	1
0.8995	1
0.836833333333333	1
0.872	0.5
0.917333333333333	1
0.8445	1
0.917666666666667	1
0.901333333333333	1
0.898666666666667	1
0.915333333333333	1
0.907333333333333	1
0.903666666666667	1
0.938166666666667	1
0.901	1
0.879833333333333	1
0.886166666666667	1
0.925333333333333	1
0.907166666666667	1
0.9225	1
0.891166666666667	1
0.9335	1
0.899333333333333	1
0.915	1
0.834	1
0.912666666666667	1
0.843666666666667	1
0.919833333333333	1
0.862666666666667	1
0.89	0.5
0.914	1
0.914833333333333	1
