sigma	C	AUC
1e-5	0.001	0.9366666666666666
1e-5	0.01	0.9303333333333333
1e-6	1e-4	0.882
1e-6	0.001	0.874
1e-6	0.01	0.856
1e-5	1e-4	0.8861666666666667
1e-5	0.001	0.8468333333333333
1e-5	0.01	0.8253333333333334
1e-6	1e-4	0.9366666666666666
1e-6	0.001	0.9366666666666666
1e-6	0.01	0.9326666666666666
1e-5	1e-4	0.939
1e-5	0.001	0.931
1e-5	0.01	0.924
1e-6	1e-4	0.8896666666666667
1e-6	0.001	0.8876666666666667
1e-6	0.01	0.8836666666666667
1e-5	1e-4	0.884
1e-5	0.001	0.876
1e-5	0.01	0.8501666666666666
1e-6	1e-4	0.9208333333333333
1e-6	0.001	0.9148333333333333
1e-6	0.01	0.9028333333333334
1e-5	1e-4	0.9218333333333333
1e-5	0.001	0.9098333333333334
1e-5	0.01	0.9106666666666666
1e-6	1e-4	0.868
1e-6	0.001	0.862
1e-6	0.01	0.834
1e-5	1e-4	0.8788333333333334
1e-5	0.001	0.8628333333333333
1e-5	0.01	0.794
1e-6	1e-4	0.8226666666666667
1e-6	0.001	0.8206666666666667
1e-6	0.01	0.7993333333333333
1e-5	1e-4	0.8193333333333334
1e-5	0.001	0.8073333333333333
1e-5	0.01	0.8261666666666667
1e-6	1e-4	0.8681666666666666
1e-6	0.001	0.8641666666666666
1e-6	0.01	0.8521666666666666
1e-5	1e-4	0.8768333333333334
1e-5	0.001	0.8528333333333333
1e-5	0.01	0.8411666666666666
1e-6	1e-4	0.821
1e-6	0.001	0.819
1e-6	0.01	0.795
1e-5	1e-4	0.8128333333333333
1e-5	0.001	0.8028333333333333
1e-5	0.01	0.8113333333333334
1e-6	1e-4	0.9423333333333334
1e-6	0.001	0.9423333333333334
1e-6	0.01	0.9423333333333334
1e-5	1e-4	0.954
1e-5	0.001	0.954
1e-5	0.01	0.9501666666666667
1e-6	1e-4	0.8476666666666667
1e-6	0.001	0.8476666666666667
1e-6	0.01	0.8076666666666666
1e-5	1e-4	0.8588333333333333
1e-5	0.001	0.8388333333333333
1e-5	0.01	0.8293333333333334
1e-6	1e-4	0.8965
1e-6	0.001	0.8945
1e-6	0.01	0.8578333333333333
1e-5	1e-4	0.8946666666666666
1e-5	0.001	0.8726666666666667
1e-5	0.01	0.8415
1e-6	1e-4	0.9115
1e-6	0.001	0.9115
1e-6	0.01	0.9041666666666667
1e-5	1e-4	0.9151666666666667
1e-5	0.001	0.9091666666666667
1e-5	0.01	0.9108333333333334
1e-6	1e-4	0.9108333333333334
1e-6	0.001	0.9048333333333334
1e-6	0.01	0.8828333333333334
1e-5	1e-4	0.9093333333333333
1e-5	0.001	0.8833333333333333
1e-5	0.01	0.8705
1e-6	1e-4	0.9083333333333333
1e-6	0.001	0.9063333333333333
1e-6	0.01	0.9003333333333333
1e-5	1e-4	0.9091666666666667
1e-5	0.001	0.9051666666666667
